127.0.0.1 - - [14/Aug/2025:10:06:50 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:06:51 +0900] "GET /reshopping/index.jsp HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:06:52 +0900] "GET /reshopping/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:06:52 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:06:52 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:06:52 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:06:52 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:06:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:07:00 +0900] "GET /reshopping/index.jsp HTTP/1.1" 200 1992
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:07:00 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:07:00 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:07:00 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:10:07:00 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:11:15:58 +0900] "GET /reshopping/index.jsp HTTP/1.1" 200 2058
0:0:0:0:0:0:0:1 - - [14/Aug/2025:11:15:58 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:11:15:58 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:11:15:58 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:11:15:58 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:11:41:11 +0900] "GET /reshopping/index.jsp HTTP/1.1" 500 2727
0:0:0:0:0:0:0:1 - - [14/Aug/2025:11:41:48 +0900] "GET /reshopping/index.jsp HTTP/1.1" 200 2024
0:0:0:0:0:0:0:1 - - [14/Aug/2025:11:41:48 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:11:41:48 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:11:41:48 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [14/Aug/2025:11:41:48 +0900] "GET /css/style.css HTTP/1.1" 404 1132
