127.0.0.1 - - [20/Oct/2025:09:35:52 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:35:53 +0900] "GET /reshopping/index.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:35:53 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:35:53 +0900] "GET /reshopping/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:35:53 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:35:53 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:35:53 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:35:53 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:36:03 +0900] "GET /reshopping/join.jsp HTTP/1.1" 200 3458
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:36:03 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:36:03 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:36:03 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:39:39 +0900] "POST /reshopping/join_p.jsp HTTP/1.1" 500 4749
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:40:45 +0900] "GET /reshopping/index.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:40:45 +0900] "GET /css/style.css HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [20/Oct/2025:09:40:45 +0900] "GET /css/style.css HTTP/1.1" 404 1132
